Date,ProductId,Profit,Sales,Margin,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,Area Code
6/1/2010,9,25,264,154,110,129,100,665,40,100,150,250,580
6/1/2010,2,29,99,56,43,27,14,597,50,50,70,120,918
6/1/2010,3,19,60,36,24,17,6,856,30,30,40,70,405
6/1/2010,6,99,230,136,94,37,26,562,90,80,110,190,469
6/1/2010,4,33,135,81,54,48,17,-321,40,40,70,110,936
6/1/2010,5,120,276,163,113,43,31,897,120,90,140,230,281
6/1/2010,8,24,118,68,50,44,16,397,40,40,70,110,832
6/1/2010,9,20,93,55,38,35,12,414,30,30,60,90,409
6/1/2010,2,192,532,288,244,96,75,1213,270,300,360,660,210
6/1/2010,3,68,190,107,83,39,27,574,100,100,130,230,806
6/1/2010,4,31,89,53,36,22,10,828,40,30,50,80,435
6/1/2010,5,35,111,63,48,28,15,593,40,40,60,100,435
6/1/2010,6,34,92,55,37,21,10,876,40,30,50,80,435
6/1/2010,1,36,142,77,65,41,20,1042,60,80,90,170,435
6/1/2010,2,19,108,62,46,43,15,367,50,50,80,130,801
6/1/2010,8,42,138,82,56,40,17,302,50,40,80,120,435
6/1/2010,9,42,156,94,62,52,20,436,50,50,80,130,435
6/1/2010,10,-33,141,25,116,58,35,1142,-10,90,30,120,435
6/1/2010,11,-3,125,73,52,76,47,313,0,30,50,80,801
6/1/2010,12,14,96,55,41,41,13,239,20,20,40,60,801
6/1/2010,13,-3,78,43,35,46,13,204,10,20,30,50,435
6/1/2010,3,32,169,93,76,61,28,580,70,90,120,210,435
6/1/2010,4,165,521,261,260,96,72,1715,180,240,260,500,707
6/1/2010,5,36,345,201,144,165,131,874,50,130,200,330,714
6/1/2010,6,240,634,362,272,122,89,1616,230,260,340,600,562
6/1/2010,1,-113,96,-45,141,68,45,1514,-110,170,-50,120,707
6/1/2010,2,357,890,534,356,177,124,2476,500,440,670,1110,805
6/1/2010,8,133,301,178,123,45,34,947,140,100,160,260,661
6/1/2010,9,192,532,288,244,96,75,1213,190,200,260,460,661
6/1/2010,10,67,190,107,83,40,27,574,60,70,90,160,408
6/1/2010,11,120,276,163,113,43,31,897,90,70,110,180,209
6/1/2010,12,98,230,136,94,38,26,562,80,60,90,150,415
6/1/2010,13,32,135,81,54,49,17,641,30,30,60,90,714
6/1/2010,3,-142,169,-31,200,111,66,2393,-140,250,-40,210,415
6/1/2010,4,31,43,43,0,12,0,602,30,0,40,40,775
6/1/2010,5,18,58,35,23,17,6,843,20,20,30,50,775
6/1/2010,6,15,53,32,21,17,5,798,20,20,30,50,702
6/1/2010,2,0,82,46,36,46,13,236,20,40,60,100,702
6/1/2010,8,37,345,201,144,164,131,874,50,120,180,300,775
6/1/2010,9,166,478,278,200,112,66,1095,170,170,250,420,702
6/1/2010,10,136,345,204,141,68,45,764,130,120,180,300,775
6/1/2010,11,241,634,362,272,121,89,1616,190,170,260,430,775
6/1/2010,12,165,521,261,260,96,72,1715,120,170,180,350,702
6/1/2010,13,-369,37,-271,271,135,102,4507,-250,170,-170,0,702
6/1/2010,3,8,70,38,32,30,9,996,20,40,40,80,775
6/1/2010,4,11,115,64,51,53,19,396,30,40,70,110,503
6/1/2010,5,24,118,68,50,44,16,397,40,40,70,110,503
6/1/2010,6,83,298,149,149,66,41,1245,90,140,140,280,541
6/1/2010,1,-6,107,63,44,69,40,496,30,50,80,130,541
6/1/2010,2,4,112,65,47,61,15,456,40,50,90,140,971
6/1/2010,8,22,69,41,28,19,7,816,40,20,40,60,971
6/1/2010,9,30,99,56,43,26,14,597,30,30,50,80,503
6/1/2010,11,9,44,26,18,17,5,478,10,10,10,20,503
6/1/2010,12,100,278,167,111,67,36,767,70,70,110,180,503
6/1/2010,13,105,282,164,118,59,36,636,80,70,120,190,503
6/1/2010,3,20,93,55,38,35,12,414,40,40,70,110,541
6/1/2010,4,34,110,62,48,28,15,593,40,40,60,100,206
6/1/2010,5,18,133,74,59,56,22,377,20,50,70,120,425
6/1/2010,6,49,177,96,81,47,25,1046,60,70,90,160,253
6/1/2010,2,66,193,114,79,48,25,425,110,90,150,240,425
6/1/2010,8,79,232,140,92,61,30,1102,90,70,130,200,206
6/1/2010,9,40,107,64,43,24,12,822,50,30,60,90,509
6/1/2010,11,41,125,78,47,37,14,371,30,30,50,80,360
6/1/2010,12,24,99,59,40,35,12,443,20,20,40,60,206
6/1/2010,13,-3,128,75,53,78,48,597,0,30,50,80,360
6/1/2010,3,24,264,154,110,130,100,665,90,130,200,330,206
7/1/2010,8,81,291,146,145,65,40,1304,80,120,130,250,303
7/1/2010,9,-10,95,56,39,66,36,517,0,30,50,80,970
7/1/2010,10,21,110,63,47,42,15,420,20,40,50,90,720
7/1/2010,11,12,115,64,51,52,19,419,20,40,60,100,970
7/1/2010,12,23,109,59,50,36,15,1051,20,40,50,90,720
7/1/2010,13,27,94,53,41,26,13,592,30,30,50,80,303
7/1/2010,5,98,230,136,94,38,26,608,140,100,170,270,303
7/1/2010,6,31,131,79,52,48,17,668,50,60,90,150,303
7/1/2010,3,139,312,185,127,46,35,1007,150,130,190,320,970
7/1/2010,1,111,256,152,104,41,29,952,120,110,150,260,720
7/1/2010,2,71,199,112,87,41,28,564,80,90,110,200,970
7/1/2010,8,111,256,152,104,41,29,952,120,80,140,220,312
7/1/2010,9,72,199,112,87,40,28,564,70,70,100,170,312
7/1/2010,10,139,312,185,127,46,35,1007,150,100,170,270,815
7/1/2010,11,99,230,136,94,37,26,608,90,80,120,200,815
7/1/2010,12,31,131,79,52,48,17,668,30,40,70,110,815
7/1/2010,5,259,678,387,291,128,96,1742,340,330,470,800,224
7/1/2010,6,168,532,266,266,98,74,1819,220,300,320,620,312
7/1/2010,3,150,376,222,154,72,49,833,170,160,230,390,217
7/1/2010,2,208,567,329,238,121,78,1190,230,250,340,590,312
7/1/2010,8,258,678,387,291,129,96,1742,240,250,340,590,319
7/1/2010,9,150,376,222,154,72,49,833,150,130,200,330,319
7/1/2010,11,167,532,266,266,99,74,1819,150,220,240,460,515
7/1/2010,12,197,602,332,270,135,102,1834,170,230,290,520,319
7/1/2010,5,13,49,29,20,16,5,808,20,20,30,50,641
7/1/2010,6,31,43,43,0,12,0,559,40,0,50,50,641
7/1/2010,3,12,54,31,23,19,7,605,20,20,30,50,712
7/1/2010,1,17,61,36,25,19,7,854,30,20,40,60,319
7/1/2010,2,9,75,41,34,32,10,1010,20,30,40,70,712
7/1/2010,8,-1,141,82,59,83,53,338,10,50,70,120,816
7/1/2010,9,-12,169,49,120,61,37,1334,0,100,40,140,417
7/1/2010,11,17,103,59,44,42,14,258,30,30,60,90,636
7/1/2010,12,1,89,49,40,48,15,219,0,30,40,70,816
7/1/2010,13,0,82,46,36,46,13,252,0,30,40,70,816
7/1/2010,5,32,87,52,35,20,9,894,40,40,60,100,573
7/1/2010,6,35,96,57,39,22,10,845,50,40,70,110,314
7/1/2010,3,32,132,72,60,40,18,1070,40,60,70,130,314
7/1/2010,2,31,169,93,76,62,28,613,40,80,90,170,636
7/1/2010,8,9,44,26,18,17,5,486,20,10,20,30,740
7/1/2010,9,16,57,34,23,18,6,868,40,10,40,50,614
7/1/2010,11,104,286,172,114,68,37,822,100,90,160,250,740
7/1/2010,12,128,336,195,141,67,43,692,110,120,170,290,513
7/1/2010,5,81,291,146,145,65,40,1304,120,160,180,340,216
7/1/2010,6,11,115,64,51,53,19,419,30,50,80,130,513
7/1/2010,1,20,110,63,47,43,15,420,40,40,70,110,614
7/1/2010,2,18,85,51,34,33,10,432,30,30,50,80,513
7/1/2010,3,-9,95,56,39,65,36,517,0,40,50,90,330
7/1/2010,8,29,104,65,39,36,12,380,40,30,60,90,920
7/1/2010,9,58,144,85,59,27,16,870,60,50,70,120,262
7/1/2010,11,21,90,54,36,33,11,462,10,30,40,70,920
7/1/2010,12,-6,113,66,47,72,42,622,0,40,50,90,608
7/1/2010,5,56,189,103,86,47,26,1081,90,90,130,220,608
7/1/2010,6,36,115,65,50,29,16,587,60,50,80,130,920
7/1/2010,1,18,133,74,59,56,22,403,20,60,70,130,920
7/1/2010,2,32,297,173,124,141,112,717,60,130,180,310,262
7/1/2010,3,71,227,130,97,59,32,575,80,100,130,230,920
7/1/2010,11,32,87,52,35,20,9,894,50,30,60,90,203
7/1/2010,13,15,51,31,20,16,5,814,20,20,30,50,860
7/1/2010,9,32,169,93,76,61,28,613,40,50,80,130,959
7/1/2010,10,33,132,72,60,39,18,1070,40,40,60,100,959
7/1/2010,5,-5,113,66,47,71,42,622,20,40,70,110,860
7/1/2010,6,16,100,57,43,41,14,388,20,40,50,90,203
7/1/2010,2,75,225,135,90,60,29,1148,90,80,130,210,203
7/1/2010,11,41,110,65,45,24,12,885,50,40,70,110,386
7/1/2010,13,58,144,85,59,27,16,870,70,60,90,150,954
7/1/2010,8,36,115,65,50,29,16,587,30,30,50,80,863
7/1/2010,9,19,133,74,59,55,22,403,30,40,60,100,904
7/1/2010,10,55,189,103,86,48,26,1081,50,60,80,140,904
7/1/2010,5,32,297,173,124,141,112,717,60,110,180,290,386
7/1/2010,6,71,227,130,97,59,32,575,80,90,130,220,863
7/1/2010,2,104,286,172,114,68,37,822,120,100,170,270,904
7/1/2010,3,129,336,195,141,66,43,692,130,130,180,310,727
7/1/2010,11,16,57,34,23,18,6,868,30,20,40,60,413
7/1/2010,13,9,44,26,18,17,5,486,20,10,30,40,339
7/1/2010,9,11,115,64,51,53,19,419,20,30,50,80,978
7/1/2010,5,7,111,72,39,65,36,560,20,30,70,100,978
7/1/2010,7,81,291,146,145,65,40,1304,100,130,150,280,617
7/1/2010,2,564,665,613,52,49,17,-1493,560,40,590,630,508
7/1/2010,11,17,61,36,25,19,7,854,30,20,40,60,603
7/1/2010,13,31,43,43,0,12,0,559,30,0,40,40,603
7/1/2010,9,0,82,46,36,46,13,252,10,20,40,60,603
7/1/2010,5,-1,141,82,59,83,53,338,10,50,80,130,603
7/1/2010,7,0,89,49,40,49,15,219,10,30,50,80,603
7/1/2010,1,49,151,90,61,41,19,329,70,50,90,140,603
7/1/2010,2,43,160,96,64,53,21,467,60,60,90,150,603
7/1/2010,11,138,312,185,127,47,35,1007,160,130,200,330,212
7/1/2010,12,111,256,152,104,41,29,952,120,110,160,270,518
7/1/2010,13,98,230,136,94,38,26,608,120,90,150,240,315
7/1/2010,9,388,793,523,270,135,102,1781,310,200,410,610,516
7/1/2010,10,-164,198,-62,260,102,80,3076,-110,190,-40,150,716
7/1/2010,7,182,546,280,266,98,74,1355,190,250,280,530,585
7/1/2010,5,-266,77,-85,162,181,147,2321,-240,150,-80,70,347
7/1/2010,2,370,912,548,364,178,127,2654,370,340,520,860,845
7/1/2010,3,58,144,85,59,27,16,870,90,70,110,180,318
7/1/2010,2,36,99,59,40,23,11,843,50,50,70,120,318
7/1/2010,8,32,106,60,46,28,15,587,40,40,60,100,318
7/1/2010,9,31,169,93,76,62,28,613,40,70,90,160,318
7/1/2010,4,-6,113,66,47,72,42,-395,0,40,50,90,985
7/1/2010,5,30,104,65,39,35,12,380,30,30,50,80,225
7/1/2010,6,21,90,54,36,33,11,462,20,30,40,70,225
7/1/2010,3,-11,169,49,120,60,37,1334,10,150,60,210,505
7/1/2010,2,44,160,96,64,52,21,467,70,80,120,200,505
7/1/2010,8,17,61,36,25,19,7,854,20,20,30,50,505
7/1/2010,9,10,75,41,34,31,10,1010,20,30,40,70,505
7/1/2010,4,1,89,49,40,48,15,-258,10,30,40,70,505
7/1/2010,5,-1,141,82,59,83,53,338,0,50,70,120,505
7/1/2010,6,18,103,59,44,41,14,258,20,30,50,80,505
7/1/2010,3,16,57,34,23,18,6,868,40,20,50,70,405
7/1/2010,2,28,94,53,41,25,13,592,40,50,60,110,580
7/1/2010,9,32,297,173,124,141,112,717,60,110,180,290,405
7/1/2010,8,19,133,74,59,55,22,403,30,50,80,130,405
7/1/2010,4,128,336,195,141,67,43,-942,110,120,160,280,580
7/1/2010,5,9,44,26,18,17,5,486,20,10,20,30,918
7/1/2010,6,103,286,172,114,69,37,822,100,90,150,240,580
7/1/2010,3,71,199,112,87,41,28,564,110,100,140,240,325
7/1/2010,2,206,567,307,260,101,80,1319,290,320,380,700,430
7/1/2010,9,19,85,51,34,32,10,432,30,30,50,80,281
7/1/2010,8,20,110,63,47,43,15,420,30,40,60,100,903
7/1/2010,4,30,131,79,52,49,17,-456,40,40,70,110,281
7/1/2010,5,112,256,152,104,40,29,952,120,80,140,220,210
7/1/2010,6,98,230,136,94,38,26,608,90,80,110,190,832
7/1/2010,1,32,132,72,60,40,18,1070,60,70,90,160,435
7/1/2010,2,16,100,57,43,41,14,388,40,50,70,120,801
7/1/2010,8,48,151,90,61,42,19,329,60,50,80,130,435
7/1/2010,9,44,160,96,64,52,21,467,60,50,90,140,435
7/1/2010,10,-12,169,49,120,61,37,1334,-10,100,40,140,801
7/1/2010,11,0,141,82,59,82,53,338,10,30,60,90,435
7/1/2010,12,17,103,59,44,42,14,258,30,20,50,70,435
7/1/2010,13,1,89,49,40,48,15,219,20,20,40,60,435
7/1/2010,3,31,169,93,76,62,28,613,70,90,120,210,435
7/1/2010,4,36,96,57,39,21,10,845,50,30,60,90,801
7/1/2010,5,32,106,60,46,28,15,587,40,40,60,100,801
7/1/2010,6,31,87,52,35,21,9,894,40,30,50,80,801
7/1/2010,1,-138,87,-67,154,71,49,1832,-150,190,-90,100,209
7/1/2010,2,370,912,548,364,178,127,2654,530,450,690,1140,707
7/1/2010,8,139,312,185,127,46,35,1007,150,100,170,270,805
7/1/2010,9,205,567,307,260,102,80,1319,200,220,270,490,650
7/1/2010,10,72,199,112,87,40,28,564,70,70,100,170,831
7/1/2010,11,112,256,152,104,40,29,952,100,60,110,170,562
7/1/2010,12,98,230,136,94,38,26,608,80,60,90,150,831
7/1/2010,13,30,131,79,52,49,17,668,20,30,50,80,415
7/1/2010,3,-157,202,-36,238,121,78,2797,-150,290,-40,250,707
7/1/2010,4,167,532,266,266,99,74,1819,170,250,260,510,818
7/1/2010,5,45,387,225,162,180,147,943,60,150,220,370,562
7/1/2010,6,259,678,387,291,128,96,1742,260,270,380,650,650
7/1/2010,2,-1,82,46,36,47,13,252,20,40,60,100,775
7/1/2010,8,45,387,225,162,180,147,943,70,130,210,340,775
7/1/2010,9,208,567,329,238,121,78,1190,200,200,290,490,775
7/1/2010,10,150,376,222,154,72,49,833,150,130,200,330,775
7/1/2010,11,258,678,387,291,129,96,1742,190,190,270,460,702
7/1/2010,12,168,532,266,266,98,74,1819,130,170,190,360,775
7/1/2010,13,-378,27,-270,270,135,102,5230,-250,170,-170,0,702
7/1/2010,3,9,75,41,34,32,10,1010,30,40,50,90,775
7/1/2010,4,32,43,43,0,11,0,559,30,0,40,40,702
7/1/2010,5,17,61,36,25,19,7,854,20,20,30,50,775
7/1/2010,6,12,49,29,20,17,5,808,20,10,30,40,702
7/1/2010,1,-10,95,56,39,66,36,517,20,40,70,110,971
7/1/2010,2,0,94,55,39,55,12,478,20,40,70,110,971
7/1/2010,8,24,74,44,30,20,8,829,40,20,40,60,503
7/1/2010,9,27,94,53,41,26,13,592,30,30,50,80,503
7/1/2010,11,9,44,26,18,17,5,486,10,10,10,20,541
7/1/2010,12,104,286,172,114,68,37,822,80,70,120,190,503
7/1/2010,13,129,336,195,141,66,43,692,90,90,130,220,503
7/1/2010,3,18,85,51,34,33,10,432,40,40,60,100,503
7/1/2010,4,12,115,64,51,52,19,419,30,40,70,110,971
7/1/2010,5,20,110,63,47,43,15,420,30,40,60,100,503
7/1/2010,6,81,291,146,145,65,40,1304,90,130,140,270,541
7/1/2010,8,75,225,135,90,60,29,1148,80,70,120,190,425
7/1/2010,9,37,99,59,40,22,11,843,50,30,50,80,509
7/1/2010,11,29,104,65,39,36,12,380,30,20,50,70,509
7/1/2010,12,20,90,54,36,34,11,462,30,20,40,60,509
7/1/2010,13,-5,113,66,47,71,42,622,0,30,40,70,253
7/1/2010,2,75,211,125,86,50,27,463,120,100,160,260,425
7/1/2010,3,31,297,173,124,142,112,717,100,150,220,370,360
7/1/2010,4,36,115,65,50,29,16,587,50,40,70,110,206
7/1/2010,5,18,133,74,59,56,22,403,20,50,70,120,206
7/1/2010,6,56,189,103,86,47,26,1081,70,80,100,180,253
8/1/2010,8,82,291,146,145,64,40,1292,80,120,130,250,303
8/1/2010,9,-10,89,52,37,62,33,513,0,30,40,70,970
8/1/2010,10,20,108,62,46,42,15,415,30,30,60,90,303
8/1/2010,11,9,109,60,49,51,18,414,10,40,50,90,720
8/1/2010,12,16,91,50,41,34,12,1046,20,30,50,80,970
8/1/2010,13,53,155,87,68,34,22,587,50,50,80,130,719
8/1/2010,5,105,245,145,100,40,28,598,130,110,170,280,720
8/1/2010,6,30,131,79,52,49,17,662,50,60,90,150,719
8/1/2010,3,144,323,191,132,47,36,994,160,130,200,330,719
8/1/2010,1,133,301,178,123,45,34,941,140,130,180,310,720
8/1/2010,2,39,120,68,52,29,17,554,50,50,70,120,719
8/1/2010,8,132,301,178,123,46,34,941,140,100,160,260,630
8/1/2010,9,39,120,68,52,29,17,554,40,40,60,100,847
8/1/2010,10,143,323,191,132,48,36,994,140,110,170,280,309
8/1/2010,11,105,245,145,100,40,28,598,100,80,130,210,217
8/1/2010,12,30,131,79,52,49,17,662,30,40,70,110,618
8/1/2010,5,262,687,392,295,130,97,1714,340,340,470,810,630
8/1/2010,6,167,532,266,266,99,74,1797,220,300,320,620,847
8/1/2010,3,150,376,222,154,72,49,817,170,160,230,390,630
8/1/2010,2,163,467,271,196,108,64,1167,190,200,290,490,847
8/1/2010,8,262,687,392,295,130,97,1714,250,250,350,600,712
8/1/2010,9,151,376,222,154,71,49,817,150,130,200,330,712
8/1/2010,11,167,532,266,266,99,74,1797,150,220,240,460,515
8/1/2010,12,207,632,348,284,141,107,1809,180,240,310,550,515
8/1/2010,5,18,58,35,23,17,6,806,30,20,40,60,712
8/1/2010,6,31,43,43,0,12,0,516,40,0,50,50,515
8/1/2010,2,15,90,49,41,34,12,1007,20,40,50,90,563
8/1/2010,3,1,32,18,14,17,4,602,10,10,20,30,641
8/1/2010,1,19,63,38,25,19,7,851,30,20,40,60,641
8/1/2010,8,2,151,88,63,86,57,332,20,50,80,130,314
8/1/2010,9,-41,139,19,120,60,37,1439,-20,100,20,120,573
8/1/2010,11,19,105,60,45,41,14,253,30,30,60,90,816
8/1/2010,12,-9,65,36,29,45,11,215,-10,20,30,50,660
8/1/2010,13,1,86,48,38,47,14,248,0,30,40,70,417
8/1/2010,5,29,83,49,34,20,9,890,40,30,60,90,314
8/1/2010,6,28,80,48,32,20,8,841,50,30,60,90,417
8/1/2010,2,27,160,88,72,61,27,606,40,70,90,160,417
8/1/2010,3,24,110,60,50,36,15,1064,30,50,60,110,816
8/1/2010,8,9,41,25,16,16,4,484,20,10,20,30,567
8/1/2010,9,16,55,33,22,17,6,865,30,10,30,40,330
8/1/2010,11,103,286,172,114,69,37,810,100,90,160,250,234
8/1/2010,12,103,277,161,116,58,35,678,100,90,150,240,330
8/1/2010,5,81,291,146,145,65,40,1292,120,160,180,340,513
8/1/2010,6,8,109,60,49,52,18,414,20,50,70,120,937
8/1/2010,1,19,108,62,46,43,15,415,40,40,70,110,234
8/1/2010,2,19,85,51,34,32,10,428,30,30,50,80,234
8/1/2010,3,-11,89,52,37,63,33,513,10,30,60,90,614
8/1/2010,8,41,126,79,47,38,14,366,50,40,70,110,715
8/1/2010,9,63,154,91,63,28,17,864,70,50,80,130,262
8/1/2010,11,20,90,54,36,34,11,458,10,30,40,70,920
8/1/2010,12,-7,105,61,44,68,39,617,10,30,60,90,715
8/1/2010,5,70,226,123,103,53,31,1073,100,110,150,260,920
8/1/2010,6,18,69,39,30,21,9,581,30,30,50,80,262
8/1/2010,1,21,140,77,63,56,23,397,30,60,80,140,715
8/1/2010,2,35,317,184,133,149,120,705,60,140,190,330,608
8/1/2010,3,73,231,132,99,59,32,565,90,100,140,240,414
8/1/2010,11,28,83,49,34,21,9,890,40,30,50,80,203
8/1/2010,13,12,47,28,19,16,5,811,20,20,30,50,959
8/1/2010,9,28,160,88,72,60,27,606,30,50,70,120,860
8/1/2010,10,24,110,60,50,36,15,1064,30,30,50,80,959
8/1/2010,5,-8,105,61,44,69,39,617,10,40,60,100,860
8/1/2010,6,16,98,56,42,40,13,384,20,40,50,90,203
8/1/2010,2,75,225,135,90,60,29,1139,90,80,130,210,475
8/1/2010,11,44,114,68,46,24,12,880,60,40,80,120,941
8/1/2010,13,63,154,91,63,28,17,864,80,60,100,160,904
8/1/2010,8,18,69,39,30,21,9,581,20,20,30,50,813
8/1/2010,9,20,140,77,63,57,23,397,30,40,60,100,305
8/1/2010,10,70,226,123,103,53,31,1073,70,70,100,170,305
8/1/2010,5,35,317,184,133,149,120,705,60,120,190,310,941
8/1/2010,6,73,231,132,99,59,32,565,80,90,130,220,850
8/1/2010,2,104,286,172,114,68,37,810,120,100,170,270,850
8/1/2010,3,102,277,161,116,59,35,678,100,110,150,260,321
8/1/2010,11,16,55,33,22,17,6,865,20,20,30,50,508
8/1/2010,13,9,41,25,16,16,4,484,20,10,30,40,508
8/1/2010,9,9,109,60,49,51,18,414,20,30,50,80,339
8/1/2010,5,6,105,68,37,62,33,540,20,30,70,100,339
8/1/2010,7,82,291,146,145,64,40,1292,100,130,150,280,413
8/1/2010,2,563,664,612,52,49,17,-2033,560,40,590,630,508
8/1/2010,11,20,63,38,25,18,7,851,30,20,40,60,603
8/1/2010,13,31,43,43,0,12,0,516,30,0,40,40,603
8/1/2010,9,1,86,48,38,47,14,248,10,20,40,60,603
8/1/2010,5,1,151,88,63,87,57,332,10,60,80,140,603
8/1/2010,7,-9,65,36,29,45,11,215,0,20,40,60,603
8/1/2010,1,48,151,90,61,42,19,322,70,50,90,140,603
8/1/2010,2,44,160,96,64,52,21,460,60,60,90,150,603
8/1/2010,11,144,323,191,132,47,36,994,170,130,210,340,631
8/1/2010,12,133,301,178,123,45,34,941,150,130,190,320,914
8/1/2010,13,105,245,145,100,40,28,598,130,100,160,260,646
8/1/2010,9,229,653,369,284,140,107,1565,180,210,290,500,646
8/1/2010,10,-304,124,-187,311,117,96,3422,-230,230,-140,90,718
8/1/2010,7,179,543,277,266,98,74,1319,190,250,280,530,646
8/1/2010,5,-284,78,-95,173,189,156,2615,-260,160,-90,70,518
8/1/2010,2,368,910,546,364,178,127,2617,370,340,520,860,845
8/1/2010,3,63,154,91,63,28,17,864,100,70,120,190,504
8/1/2010,2,46,118,70,48,24,13,839,60,60,80,140,504
8/1/2010,8,61,176,99,77,38,25,581,70,70,100,170,504
8/1/2010,9,28,160,88,72,60,27,606,40,60,90,150,985
8/1/2010,4,-7,105,61,44,68,39,-508,10,30,60,90,985
8/1/2010,5,41,126,79,47,38,14,366,40,40,60,100,337
8/1/2010,6,21,90,54,36,33,11,458,20,30,40,70,504
8/1/2010,3,-42,139,19,120,61,37,1439,-30,150,20,170,505
8/1/2010,2,44,160,96,64,52,21,460,70,80,120,200,505
8/1/2010,8,19,63,38,25,19,7,851,30,20,40,60,505
8/1/2010,9,15,90,49,41,34,12,1007,20,30,50,80,505
8/1/2010,4,-8,65,36,29,44,11,-347,0,20,30,50,505
8/1/2010,5,2,151,88,63,86,57,332,0,50,70,120,505
8/1/2010,6,18,105,60,45,42,14,253,30,30,60,90,505
8/1/2010,3,16,55,33,22,17,6,865,30,20,40,60,405
8/1/2010,2,53,155,87,68,34,22,587,80,80,110,190,405
8/1/2010,9,34,317,184,133,150,120,705,60,120,190,310,580
8/1/2010,8,20,140,77,63,57,23,397,20,60,70,130,580
8/1/2010,4,102,277,161,116,59,35,-1278,100,90,140,230,918
8/1/2010,5,10,41,25,16,15,4,484,20,10,20,30,918
8/1/2010,6,103,286,172,114,69,37,810,100,90,150,240,405
8/1/2010,3,39,120,68,52,29,17,554,70,60,90,150,682
8/1/2010,2,250,678,367,311,117,96,1296,340,390,450,840,979
8/1/2010,9,19,85,51,34,32,10,428,30,30,50,80,281
8/1/2010,8,19,108,62,46,43,15,415,30,40,60,100,430
8/1/2010,4,30,131,79,52,49,17,-587,40,40,70,110,430
8/1/2010,5,133,301,178,123,45,34,941,120,100,150,250,682
8/1/2010,6,105,245,145,100,40,28,598,110,80,130,210,512
8/1/2010,1,24,110,60,50,36,15,1064,40,60,70,130,801
8/1/2010,2,15,98,56,42,41,13,384,40,50,70,120,435
8/1/2010,8,49,151,90,61,41,19,322,60,50,80,130,801
8/1/2010,9,44,160,96,64,52,21,460,60,50,90,140,435
8/1/2010,10,-41,139,19,120,60,37,1439,-30,100,20,120,801
8/1/2010,11,2,151,88,63,86,57,332,10,40,60,100,801
8/1/2010,12,19,105,60,45,41,14,253,30,20,50,70,435
8/1/2010,13,-9,65,36,29,45,11,215,10,10,30,40,435
8/1/2010,3,27,160,88,72,61,27,606,60,90,110,200,435
8/1/2010,4,28,80,48,32,20,8,841,30,30,40,70,801
8/1/2010,5,62,176,99,77,37,25,581,60,70,90,160,801
8/1/2010,6,28,83,49,34,21,9,890,30,30,40,70,435
8/1/2010,1,-139,87,-67,154,72,49,2105,-150,190,-90,100,562
8/1/2010,2,368,910,546,364,178,127,2617,520,450,680,1130,650
8/1/2010,8,143,323,191,132,48,36,994,140,110,170,280,831
8/1/2010,9,249,678,367,311,118,96,1296,240,260,330,590,916
8/1/2010,10,38,120,68,52,30,17,554,40,40,60,100,310
8/1/2010,11,133,301,178,123,45,34,941,100,80,120,200,760
8/1/2010,12,105,245,145,100,40,28,598,90,60,100,160,310
8/1/2010,13,30,131,79,52,49,17,662,20,30,50,80,818
8/1/2010,3,-137,166,-30,196,107,64,3139,-140,240,-40,200,626
8/1/2010,4,167,532,266,266,99,74,1797,170,250,260,510,916
8/1/2010,5,50,412,239,173,189,156,927,60,160,230,390,530
8/1/2010,6,262,687,392,295,130,97,1714,250,280,370,650,707
8/1/2010,2,1,86,48,38,47,14,248,20,40,60,100,702
8/1/2010,8,49,412,239,173,190,156,927,70,140,220,360,775
8/1/2010,9,163,467,271,196,108,64,1167,170,160,250,410,775
8/1/2010,10,150,376,222,154,72,49,817,150,130,200,330,702
8/1/2010,11,262,687,392,295,130,97,1714,190,190,270,460,702
8/1/2010,12,167,532,266,266,99,74,1797,130,170,190,360,775
8/1/2010,13,-404,21,-284,284,141,107,5807,-260,180,-180,0,775
8/1/2010,3,16,90,49,41,33,12,1007,30,50,60,110,702
8/1/2010,4,32,43,43,0,11,0,516,30,0,40,40,702
8/1/2010,5,19,63,38,25,19,7,851,30,20,40,60,775
8/1/2010,6,17,58,35,23,18,6,806,20,20,30,50,702
8/1/2010,1,-11,89,52,37,63,33,513,20,40,70,110,541
8/1/2010,2,8,114,67,47,59,15,474,40,50,90,140,971
8/1/2010,8,19,62,37,25,18,7,826,30,20,30,50,971
8/1/2010,9,53,155,87,68,34,22,587,60,50,80,130,541
8/1/2010,11,9,41,25,16,16,4,484,10,10,10,20,503
8/1/2010,12,104,286,172,114,68,37,810,80,70,120,190,971
8/1/2010,13,102,277,161,116,59,35,678,70,70,110,180,541
8/1/2010,3,19,85,51,34,32,10,428,40,40,60,100,541
8/1/2010,4,9,109,60,49,51,18,414,20,40,60,100,971
8/1/2010,5,19,108,62,46,43,15,415,30,40,60,100,503
8/1/2010,6,81,291,146,145,65,40,1292,90,130,140,270,503
8/1/2010,8,75,225,135,90,60,29,1139,80,70,120,190,360
8/1/2010,9,45,118,70,48,25,13,839,50,40,60,100,253
8/1/2010,11,42,126,79,47,37,14,366,30,30,50,80,253
8/1/2010,12,20,90,54,36,34,11,458,30,20,40,60,206
8/1/2010,13,-8,105,61,44,69,39,617,10,20,50,70,206
